,movie_title,total
2912,casino jack,George HickenlooperEric SchweigBiography Comedy Crime DramaKevin SpaceyChristian Campbell
2913,the land before time,Don BluthGabriel DamonAdventure Animation FamilyJudith BarsiBill Erwin
2914,tae guk gi: the brotherhood of war,Je-kyu KangBin WonAction Drama WarMin-sik ChoiDong-gun Jang
2915,the perfect game,William DearCheech MarinComedy Drama Family SportClifton Collins Jr.Bruce McGill
2916,the exorcist,William FriedkinLinda BlairHorrorEllen BurstynLee J. Cobb
2917,jaws,Steven SpielbergRobert ShawAdventure Drama ThrillerRoy ScheiderMurray Hamilton
2918,american pie,Paul WeitzShannon ElizabethComedyAlyson HanniganNatasha Lyonne
2919,ernest & celestine,Stéphane AubierMegan MullallyAnimation Comedy Crime Drama FamilyMackenzie FoyLambert Wilson
2920,the golden child,Michael RitchieRandall 'Tex' CobbAction Adventure Comedy Fantasy MysteryVictor WongCharlotte Lewis
2921,think like a man,Tim StoryRomany MalcoComedy RomanceChris BrownRegina Hall
2922,barbershop,Tim StoryJason GeorgeComedy DramaSean Patrick ThomasCedric the Entertainer
2923,star trek ii: the wrath of khan,Nicholas MeyerKirstie AlleyAction Adventure Sci-FiLeonard NimoyNichelle Nichols
2924,ace ventura: pet detective,Tom ShadyacUdo KierComedySean YoungDavid Margulies
2925,wargames,John BadhamBarry CorbinSci-Fi ThrillerMatthew BroderickAlly Sheedy
2926,witness,Peter WeirViggo MortensenCrime Drama Romance ThrillerHarrison FordLukas Haas
2927,act of valor,Mike McCoyJason CottleAction Adventure Drama Thriller WarAlex VeadovRorke Denver
2928,step up,Anne FletcherAlyson StonerCrime Drama Music RomanceChanning TatumJosh Henderson
2929,beavis and butt-head do america,Mike JudgeDemi MooreAdventure Animation Comedy CrimeBruce WillisJohn Doman
2930,jackie brown,Quentin TarantinoSid HaigCrime ThrillerRobert De NiroRobert Forster
2931,harold & kumar escape from guantanamo bay,Jon HurwitzEric WinterAdventure ComedyDanneel AcklesBeverly D'Angelo
2932,chronicle,Josh TrankAlex RussellDrama Sci-Fi ThrillerMichael KellyAshley Hinshaw
2933,yentl,Barbra StreisandAmy IrvingDrama Musical RomanceMiriam MargolyesSteven Hill
2934,time bandits,Terry GilliamMichael PalinAdventure Comedy Fantasy Sci-FiShelley DuvallKenny Baker
2935,crossroads,Tamra DavisKatherine BoecherComedy DramaBritney SpearsDave Allen
2936,project x,Nima NourizadehKirby Bliss BlantonComedy CrimeDax FlameOliver Cooper
2937,patton,Franklin J. SchaffnerKarl MaldenBiography Drama WarGeorge C. ScottBill Hickman
2938,one hour photo,Mark RomanekGary ColeDrama ThrillerRobin WilliamsConnie Nielsen
2939,quarantine,John Erick DowdleJay HernandezHorror Sci-Fi ThrillerAndrew FiscellaDania Ramirez
2940,the eye,David MoreauAlessandro NivolaHorror MysteryChloë Grace MoretzObba Babatundé
2941,johnson family vacation,Christopher ErskinShannon ElizabethComedyVanessa WilliamsShad Moss
2942,how high,Jesse DylanFred WillardComedy FantasyHector ElizondoT.J. Thyne
2943,the muppet christmas carol,Brian HensonJerry NelsonComedy Drama Family Fantasy MusicalSteven MackintoshSteve Whitmire
2944,casino royale,Martin CampbellTobias MenziesAction Adventure ThrillerEva GreenIvana Milicevic
2945,frida,Julie TaymorRoger ReesBiography Drama RomanceSalma HayekValeria Golino
2946,katy perry: part of me,Dan CutforthAshley Ashida DixonDocumentary MusicLexie ContursiAnthony Burrell
2947,the fault in our stars,Josh BooneSam TrammellDrama RomanceShailene WoodleyNat Wolff
2948,rounders,John DahlMartin LandauCrime DramaMatt DamonGretchen Mol
2949,top five,Chris RockRomany MalcoComedy RomanceRosario DawsonJ.B. Smoove
2950,prophecy,John FrankenheimerRichard DysartHorror Sci-FiTalia ShireRobert Foxworth
2951,stir of echoes,David KoeppKathryn ErbeHorror Mystery ThrillerIlleana DouglasLusia Strus
2952,spartacus: war of the damned            ,unknownKelvin TaylorAction Adventure Biography Drama HistoryPeter MensahViva Bianca
2953,philomena,Stephen FrearsMare WinninghamBiography DramaSteve CooganPeter Hermann
2954,the upside of anger,Mike BinderErika ChristensenComedy DramaAlicia WittJoan Allen
2955,the boys from brazil,Franklin J. SchaffnerAnne MearaDrama ThrillerLaurence OlivierSteve Guttenberg
2956,aquamarine,Elizabeth Allen RosenbaumJoanna 'JoJo' LevesqueComedy Family Fantasy RomanceTammin SursokDichen Lachman
2957,paper towns,Jake SchreierCara DelevingneDrama Mystery RomanceNat WolffMeg Crosbie
2958,my baby's daddy,Cheryl DunyeMarsha ThomasonComedyMichael ImperioliBai Ling
2959,nebraska,Alexander PayneBruce DernAdventure Comedy DramaDevin RatrayWill Forte
2960,tales from the crypt: demon knight,Ernest R. DickersonJada Pinkett SmithAction Fantasy Horror ThrillerCCH PounderGary Farmer
2961,max keeble's big move,Tim HillAmber VallettaComedy Crime FamilyNoel FisherLarry Miller
2962,young adult,Jason ReitmanPatton OswaltComedy DramaCharlize TheronCollette Wolfe
2963,crank,Mark NeveldineEdi GathegiAction Crime ThrillerJason StathamJose Pablo Cantillo
2964,how to be a player,Lionel C. MartinGilbert GottfriedComedyBernie MacLark Voorhies
2965,living out loud,Richard LaGraveneseEddie CibrianComedy Drama RomanceHolly HunterJenette Goldstein
2966,just wright,Sanaa HamriLaz AlonsoComedy Romance SportCommonMehcad Brooks
2967,rachel getting married,Jonathan DemmeRosemarie DeWittDrama RomanceAnne HathawayBill Irwin
2968,the postman always rings twice,Bob RafelsonMichael LernerCrime Drama Romance ThrillerAnjelica HustonJohn Colicos
2969,girl with a pearl earring,Peter WebberColin FirthBiography Drama RomanceScarlett JohanssonTom Wilkinson
2970,das boot,Wolfgang PetersenMartin SemmelroggeAdventure Drama Thriller WarJürgen ProchnowHerbert Grönemeyer
2971,the alamo,John Lee HancockMarc BlucasDrama History War WesternDennis QuaidJordi Mollà
2972,sorority boys,Wallace WolodarskyBarry WatsonComedyHeather MatarazzoHarland Williams
2973,about time,Richard CurtisTom HollanderDrama Fantasy RomanceTom HughesLindsay Duncan
2974,house of flying daggers,Yimou ZhangAndy LauAction Adventure Drama RomanceTakeshi KaneshiroZhengyong Zhang
2975,arbitrage,Nicholas JareckiCurtiss CookDrama ThrillerNate ParkerReg E. Cathey
2976,project almanac,Dean IsraeliteJonny WestonSci-Fi ThrillerGary WeeksSofia Black-D'Elia
2977,cadillac records,Darnell MartinVeronika DashBiography Drama MusicCedric the EntertainerTammy Blanchard
2978,screwed,Scott AlexanderDave ChappelleComedy CrimeSarah SilvermanSherman Hemsley
2979,fortress,Stuart GordonKurtwood SmithAction Crime Sci-Fi ThrillerChristopher LambertClifton Collins Jr.
2980,for your consideration,Christopher GuestCatherine O'HaraComedyJohn Michael HigginsEd Begley Jr.
2981,celebrity,Woody AllenAleksa PalladinoComedy DramaMelanie GriffithGreg Mottola
2982,running with scissors,Ryan MurphyJoseph CrossComedy DramaJill ClayburghDagmara Dominczyk
2983,from justin to kelly,Robert IscoveKelly ClarksonComedy Musical RomanceAnika Noni RoseBrian Dietzen
2984,girl 6,Spike LeeDebi MazarComedy DramaMichael ImperioliGretchen Mol
2985,in the cut,Jane CampionNick DamiciMystery ThrillerJennifer Jason LeighSusan Gardner
2986,two lovers,James GrayVinessa ShawDrama RomanceIsabella RosselliniSamantha Ivers
2987,last orders,Fred SchepisiRay WinstoneDramaBob HoskinsJJ Feild
2988,the host,Joon-ho BongKang-ho SongComedy Drama Horror Sci-FiDoona BaeAh-sung Ko
2989,the pursuit of d.b. cooper,Roger SpottiswoodeTreat WilliamsAdventure Crime ThrillerRobert DuvallPaul Gleason
2990,ravenous,Antonia BirdJeffrey JonesFantasy Horror ThrillerJeremy DaviesDavid Arquette
2991,charlie bartlett,Jon PollMegan ParkComedy Drama RomanceRobert Downey Jr.Hope Davis
2992,the great beauty,Paolo SorrentinoSabrina FerilliDramaToni ServilloSerena Grandi
2993,the dangerous lives of altar boys,Peter CareMichael HardingComedy DramaKieran CulkinJake Richardson
2994,stoker,Chan-wook ParkAlden EhrenreichDrama ThrillerMia WasikowskaHarmony Korine
2995,2046,Kar-Wai WongTony Chiu Wai LeungDrama Romance Sci-FiLi GongMaggie Cheung
2996,married life,Ira SachsErin BoyesCrime Drama RomanceDavid Richmond-PeckTimothy Webber
2997,duma,Carroll BallardHope DavisAdventure Drama FamilyEamonn WalkerCampbell Scott
2998,ondine,Neil JordanStephen ReaDrama Mystery RomanceTony CurranAlicja Bachleda
2999,brother,Takeshi KitanoTatyana AliCrime Drama ThrillerOmar EppsJames Shigeta
3000,welcome to collinwood,Anthony RussoIsaiah WashingtonComedy CrimeMichael JeterAndy Davoli
3001,critical care,Sidney LumetAnne BancroftComedy DramaKyra SedgwickAlbert Brooks
3002,the life before her eyes,Vadim PerelmanLynn CohenDrama Mystery ThrillerEva Amurri MartinoBrett Cullen
3003,darling companion,Lawrence KasdanMark DuplassComedy Drama RomanceDianne WiestSam Shepard
3004,trade,Marco KreuzpaintnerKate del CastilloCrime Drama ThrillerZack WardAlicja Bachleda
3005,fateless,Lajos KoltaiPéter FancsikaiDrama Romance WarMarcell NagyBálint Péntek
3006,breakfast of champions,Alan RudolphAlbert FinneyComedyBruce WillisOmar Epps
3007,"a woman, a gun and a noodle shop",Yimou ZhangNi YanComedy DramaHonglei SunDahong Ni
3008,cypher,Vincenzo NataliJeremy NorthamMystery Romance Sci-Fi ThrillerDavid HewlettKari Matchett
3009,city of life and death,Chuan LuYuanyuan GaoDrama History WarYe LiuRyu Kohata
3010,home,Tim JohnsonMatt JonesAdventure Animation Comedy Family Fantasy Sci-FiJim ParsonsApril Winchell
3011,legend of kung fu rabbit,Lijun SunTom ArnoldAction Adventure Animation Comedy FamilyJon HederRebecca Black
3012,space battleship yamato,Takashi YamazakiMeisa KurokiAction Adventure Drama Sci-FiTakuya KimuraHiroyuki Ikeuchi
3013,5 days of war,Renny HarlinKenneth CranhamAction Drama WarRichard CoyleAna Imnadze
3014,triangle,Christopher SmithMichael DormanFantasy Mystery ThrillerRachael CarpaniEmma Lung
3015,10 days in a madhouse,Timothy HinesKelly LeBrockDramaChristopher LambertAlexandra Callas
3016,heaven is for real,Randall WallaceConnor CorumBiography DramaJacob VargasRob Moran
3017,snatch,Guy RitchieBrad PittComedy CrimeJason StathamJason Flemyng
3018,dancin' it's on,David WintersMatt MarrFamily MusicalGary DanielsGinger Jensen
3019,pet sematary,Mary LambertFred GwynneFantasy HorrorMiko HughesDenise Crosby
3020,madadayo,Akira KurosawaTetsu WatanabeDramaTatsuo MatsumuraAkira Terao
3021,the cry of the owl,Jamie ThravesCaroline DhavernasDrama ThrillerPaddy ConsidineCharlotte Sullivan
3022,a tale of three cities,Mabel CheungChing Wan LauDramaWei TangHailu Qin
3023,gremlins,Joe DanteHarry Carey Jr.Comedy Fantasy HorrorPhoebe CatesZach Galligan
3024,star wars: episode iv - a new hope,George LucasPeter CushingAction Adventure Fantasy Sci-FiHarrison FordKenny Baker
3025,dirty grandpa,Dan MazerZoey DeutchComedyRobert De NiroJason Mantzoukas
3026,doctor zhivago,David LeanKlaus KinskiDrama Romance WarJulie ChristieGeraldine Chaplin
3027,trash,Stephen DaldrySelton MelloAdventure Crime Drama Mystery ThrillerWagner MouraDaniel Zettel
3028,high school musical 3: senior year,Kenny OrtegaMatt ProkopComedy Drama Family Music Musical RomanceLucas GrabeelCorbin Bleu
3029,the fighter,David O. RussellJack McGeeBiography Drama SportChristian BaleMelissa McMeekin
3030,jackass number two,Jeff TremaineSteve-OAction Comedy DocumentaryBam MargeraChris Pontius
3031,my cousin vinny,Jonathan LynnBruce McGillComedy CrimeFred GwynneLane Smith
3032,if i stay,R.J. CutlerMireille EnosDrama Fantasy Music RomanceChloë Grace MoretzStacy Keach
3033,drive hard,Brian Trenchard-SmithDamien GarveyAction Comedy CrimeZoe VentouraChristopher Sommers
3034,major league,David S. WardTom BerengerComedy SportCorbin BernsenRene Russo
3035,st. trinian's,Oliver ParkerRupert EverettComedyLily ColeTamsin Egerton
3036,phone booth,Joel SchumacherJohn Enos IIICrime ThrillerRadha MitchellRichard T. Jones
3037,a walk to remember,Adam ShankmanPeter CoyoteDrama RomanceLauren GermanPaz de la Huerta
3038,dead man walking,Tim RobbinsCelia WestonCrime DramaLois SmithRobert Prosky
3039,cruel intentions,Roger KumbleSean Patrick ThomasDrama RomanceSarah Michelle GellarEric Mabius
3040,saw vi,Kevin GreutertShawnee SmithHorror MysteryCostas MandylorGeorge Newbern
3041,history of the world: part i,Mel BrooksSid CaesarComedyMadeline KahnDom DeLuise
3042,the secret life of bees,Gina Prince-BythewoodAlicia KeysDramaNate ParkerJennifer Hudson
3043,corky romano,Rob PrittsVinessa ShawComedy CrimeVincent PastorePeter Berg
3044,raising cain,Brian De PalmaGabrielle CarterisCrime Drama ThrillerSteven BauerGregg Henry
3045,f.i.s.t.,Norman JewisonPeter BoyleDramaSylvester StalloneRod Steiger
3046,invaders from mars,Tobe HooperBud CortHorror Sci-FiLouise FletcherWilliam Bassett
3047,brooklyn,John CrowleyFiona GlascottDrama RomanceJulie WaltersEva Birthistle
3048,barry lyndon,Stanley KubrickSteven BerkoffAdventure Drama History WarRyan O'NealHardy Krüger
3049,out cold,Brendan MalloyJason LondonComedy SportLee MajorsThomas Lennon
3050,the ladies man,Reginald HudlinJohn WitherspoonComedyWill FerrellTim Meadows
3051,quartet,Dustin HoffmanSheridan SmithComedy DramaLuke NewberryPauline Collins
3052,tomcats,Gregory PoirierJake BuseyComedyShannon ElizabethDavid Ogden Stiers
3053,frailty,Bill PaxtonPowers BootheCrime Drama ThrillerMatthew McConaugheyMatt O'Leary
3054,woman in gold,Simon CurtisFrances FisherBiography Drama HistoryRyan ReynoldsElizabeth McGovern
3055,kinsey,Bill CondonOliver PlattBiography DramaLiam NeesonDylan Baker
3056,army of darkness,Sam RaimiBridget FondaComedy Fantasy HorrorPatricia TallmanEmbeth Davidtz
3057,slackers,Dewey NicksGedde WatanabeComedy RomanceJaime KingJim Rash
3058,what's eating gilbert grape,Lasse HallströmLeonardo DiCaprioDrama RomanceJohnny DeppKevin Tighe
3059,the visual bible: the gospel of john,Philip SavilleAlan Van SprangBiography Drama HistoryHenry Ian CusickScott Handy
3060,vera drake,Mike LeighSally HawkinsCrime DramaEddie MarsanImelda Staunton
3061,the guru,Daisy von Scherler MayerDash MihokComedy Music RomanceMichael McKeanJimi Mistry
3062,the perez family,Mira NairChazz PalminteriComedy Drama RomanceAnjelica HustonVincent Gallo
3063,inside llewyn davis,Ethan CoenMax CasellaDrama MusicJustin TimberlakeAlex Karpovsky
3064,o,Tim Blake NelsonAndrew KeeganDrama Romance ThrillerMekhi PhiferJohn Heard
3065,return to the blue lagoon,William A. GrahamWayne PygramAdventure Drama RomanceMilla JovovichLisa Pelikan
3066,the molly maguires,Martin RittAnthony ZerbeDrama HistoryFrank FinlaySamantha Eggar
3067,romance & cigarettes,John TurturroSteve BuscemiComedy Musical RomanceKate WinsletEddie Izzard
3068,copying beethoven,Agnieszka HollandDavid KennedyBiography Drama MusicPhyllida LawAngus Barnett
3069,poltergeist,Tobe HooperZelda RubinsteinFantasy HorrorHeather O'RourkeCraig T. Nelson
3070,brighton rock,Rowan JoffeSean HarrisCrime Drama ThrillerSam RileyGeoff Bell
3071,saw v,David HacklCostas MandylorHorror MysteryJulie BenzScott Patterson
3072,machine gun mccain,Giuliano MontaldoGena RowlandsCrime Drama ThrillerJohn CassavetesBritt Ekland
3073,lol,Lisa AzuelosLina EscoComedy Drama RomanceNora DunnAlix Freihage
3074,jindabyne,Ray LawrenceDeborra-Lee FurnessCrime Drama Mystery ThrillerJohn HowardMax Cullen
3075,kabhi alvida naa kehna,Karan JoharJohn AbrahamDramaShah Rukh KhanPreity Zinta
3076,an ideal husband,Oliver ParkerRupert EverettComedy RomanceMinnie DriverJeremy Northam
3077,the last days on mars,Ruairi RobinsonOlivia WilliamsHorror Sci-Fi ThrillerRomola GaraiTom Cullen
3078,darkness,Jaume BalagueróGiancarlo GianniniHorrorLena OlinFrancesc Pagès
3079,2001: a space odyssey,Stanley KubrickGary LockwoodAdventure Mystery Sci-FiKeir DulleaGlenn Beck
3080,e.t. the extra-terrestrial,Steven SpielbergDee WallaceFamily Sci-FiHenry ThomasPeter Coyote
3081,in the land of women,Jon KasdanElena AnayaComedy Drama RomanceKristen StewartDustin Milligan
3082,the blue butterfly,Léa PoolMarc DonatoAdventure DramaWilliam HurtRaoul Max Trujillo
3083,there goes my baby,Floyd MutruxKelli WilliamsComedy DramaRicky SchroderSeymour Cassel
3084,lovesick            ,unknownJohnny FlynnComedyAntonia ThomasHannah Britland
3085,housefull,Sajid KhanBoman IraniComedyArjun RampalRiteish Deshmukh
3086,september dawn,Christopher CainTaylor HandleyDrama History Romance WesternJon GriesTrent Ford
3087,for greater glory: the true story of cristiada,Dean WrightEduardo VerásteguiDrama History WarSantiago CabreraCatalina Sandino Moreno
3088,la famille bélier,Eric LartigauEric ElmosninoComedy Drama MusicKarin ViardFrançois Damiens
3089,good will hunting,Gus Van SantMatt DamonDramaRobin WilliamsMinnie Driver
3090,misconduct,Shintaro ShimosawaAnthony HopkinsDrama ThrillerAl PacinoGlen Powell
3091,saw iii,Darren Lynn BousmanShawnee SmithHorror MysteryCostas MandylorLeigh Whannell
3092,stripes,Ivan ReitmanHarold RamisAction Comedy WarBill MurrayJudge Reinhold
3093,bring it on,Peyton ReedLindsay SloaneComedy SportKirsten DunstClare Kramer
3094,the purge: election year,James DeMonacoJoseph Julian SoriaAction Horror Sci-Fi ThrillerFrank GrilloMykelti Williamson
3095,she's all that,Robert IscoveClea DuVallComedy RomancePaul WalkerKieran Culkin
3096,precious,Lee DanielsGabourey SidibeDramaMo'NiqueMariah Carey
3097,saw iv,Darren Lynn BousmanShawnee SmithHorror MysteryCostas MandylorAngus Macfadyen
3098,white noise,Geoffrey SaxKeegan Connor TracyDrama Horror Mystery ThrillerDeborah Kara UngerMike Dopud
3099,madea's family reunion,Tyler PerryCicely TysonComedy Drama RomanceBoris KodjoeBlair Underwood
3100,the color of money,Martin ScorseseBill CobbsDrama SportTom CruiseMary Elizabeth Mastrantonio
3101,the longest day,Ken AnnakinRichard BeymerAction Drama History WarRichard BurtonEddie Albert
3102,the mighty ducks,Stephen HerekShaun WeissComedy Drama Family SportLane SmithElden Henson
3103,the grudge,Takashi ShimizuClea DuVallHorror Mystery ThrillerSarah Michelle GellarTed Raimi
3104,happy gilmore,Dennis DuganKevin NealonComedy SportAdam SandlerFrances Bay
3105,jeepers creepers,Victor SalvaPatricia BelcherHorror MysteryEileen BrennanJonathan Breck
3106,bill & ted's excellent adventure,Stephen HerekGeorge CarlinAdventure Comedy Music Sci-FiKeanu ReevesAl Leong
3107,oliver!,Carol ReedRon MoodyDrama Family MusicalOliver ReedJack Wild
3108,the best exotic marigold hotel,John MaddenPenelope WiltonComedy DramaTom WilkinsonCelia Imrie
3109,recess: school's out,Chuck SheetzAndrew LawrenceAnimation Comedy Family Mystery Sci-FiDiedrich BaderDabney Coleman
3110,mad max beyond thunderdome,George MillerBruce SpenceAction Adventure Sci-Fi ThrillerTina TurnerAngelo Rossitto
3111,commando,Mark L. LesterVernon WellsAction Adventure ThrillerBill DukeRae Dawn Chong
3112,the boy,William Brent BellRupert EvansHorror Mystery ThrillerLauren CohanStephanie Lemelin
3113,devil,John Erick DowdleBokeem WoodbineHorror Mystery ThrillerBojana NovakovicGeoffrey Arend
3114,friday after next,Marcus RaboyMike EppsComedy DramaJohn WitherspoonKatt Williams
3115,insidious: chapter 3,Leigh WhannellHayley KiyokoFantasy Horror ThrillerLin ShayeLeigh Whannell
3116,the last dragon,Michael SchultzVanityAction Comedy Drama MusicMike StarrKeshia Knight Pulliam
3117,snatch,Guy RitchieBrad PittComedy CrimeJason StathamJason Flemyng
3118,the lawnmower man,Brett LeonardAustin O'BrienHorror Sci-FiJeff FaheyTroy Evans
3119,nick and norah's infinite playlist,Peter SollettAlexis DzienaComedy Drama Music RomanceAri GraynorAaron Yoo
3120,dogma,Kevin SmithJaneane GarofaloAdventure Comedy Drama FantasyMatt DamonGeorge Carlin
3121,the banger sisters,Bob DolmanEva Amurri MartinoComedy DramaErika ChristensenSal Lopez
3122,twilight zone: the movie,Joe DanteAl LeongFantasy Horror Sci-FiAlbert BrooksVic Morrow
3123,road house,Rowdy HerringtonKevin TigheAction ThrillerBen GazzaraKelly Lynch
3124,a low down dirty shame,Keenen Ivory WayansSalli Richardson-WhitfieldAction Comedy CrimeJada Pinkett SmithCharles S. Dutton
3125,swimfan,John PolsonShiri ApplebyDrama ThrillerErika ChristensenJason Ritter
3126,employee of the month,Greg CoolidgeDanny WoodburnComedy RomanceDane CookJessica Simpson
3127,can't hardly wait,Harry ElfontLauren AmbroseComedy RomanceEthan EmbryCharlie Korsmo
3128,the outsiders,Francis Ford CoppolaWilliam SmithCrime DramaTom CruiseTom Waits
3129,pete's dragon,David LoweryOona LaurenceAdventure Family FantasyBryce Dallas HowardIsiah Whitlock Jr.
3130,the dead zone,David CronenbergHerbert LomHorror Sci-Fi ThrillerTom SkerrittAnthony Zerbe
3131,sinister 2,Ciarán FoyJames RansoneHorror Mystery ThrillerLaila HaleyJaden Klein
3132,sparkle,Salim AkilCurtis ArmstrongDrama MusicOmari HardwickMike Epps
3133,valentine,Jamie BlanksJessica CapshawHorror Mystery ThrillerMarley SheltonJohnny Whitworth
3134,the fourth kind,Olatunde OsunsanmiWill PattonMystery Sci-Fi ThrillerMilla JovovichHakeem Kae-Kazim
3135,a prairie home companion,Robert AltmanVirginia MadsenComedy Drama MusicMeryl StreepLily Tomlin
3136,sugar hill,Leon IchasoClarence Williams IIIDrama ThrillerKhandi AlexanderSteve Harris
3137,invasion u.s.a.,Joseph ZitoRichard LynchAction ThrillerBilly DragoEddie Jones
3138,roll bounce,Malcolm D. LeeBrandon T. JacksonComedy Drama Music RomanceJurnee Smollett-BellShad Moss
3139,rushmore,Wes AndersonConnie NielsenComedy DramaBill MurrayOlivia Williams
3140,skyline,Colin StrauseDonald FaisonAction Sci-Fi ThrillerDavid ZayasBrittany Daniel
3141,the second best exotic marigold hotel,John MaddenCelia ImrieComedy DramaTina DesaiRonald Pickup
3142,kit kittredge: an american girl,Patricia RozemaJane KrakowskiDrama FamilyJulia OrmondWillow Smith
3143,the perfect man,Mark RosmanChris NothComedy Family RomanceBen FeldmanVanessa Lengies
3144,mo' better blues,Spike LeeNicholas TurturroDrama Music RomanceDenzel WashingtonCharlie Murphy
3145,kung pow: enter the fist,Steve OedekerkSimon RheeAction ComedySteve OedekerkJennifer Tung
3146,tremors,Ron UnderwoodAriana RichardsComedy Horror Sci-FiReba McEntireMichael Gross
3147,wrong turn,Rob SchmidtLindy BoothHorror ThrillerKevin ZegersJulian Richings
3148,the long riders,Walter HillDavid CarradineWesternDennis QuaidRandy Quaid
3149,the corruptor,James FoleyPaul Ben-VictorAction Crime Drama Mystery ThrillerByron MannKim Chan
3150,mud,Jeff NicholsTye SheridanDramaMatthew McConaugheySam Shepard
3151,reno 911!: miami,Robert Ben GarantThomas LennonComedy CrimeWendi McLendon-CoveyCarlos Alazraqui
3152,one direction: this is us,Morgan SpurlockZayn MalikDocumentary MusicHarry StylesNiall Horan
3153,"the goods: live hard, sell hard",Neal BrennanNoureen DeWulfComedyRob RiggleCharles Napier
3154,hey arnold! the movie,Tuck TuckerVincent SchiavelliAdventure Animation Comedy FamilyJennifer Jason LeighPaul Sorvino
3155,my week with marilyn,Simon CurtisToby JonesBiography DramaEddie RedmayneJulia Ormond
3156,the matador,Richard ShepardPhilip Baker HallComedy Crime Drama ThrillerAdam ScottHope Davis
3157,love jones,Theodore WitcherNia LongDrama RomanceLeonard RobertsLarenz Tate
3158,the gift,Joel EdgertonAllison TolmanMystery ThrillerBusy PhilippsWendell Pierce
3159,end of the spear,Jim HanonChad AllenAdventure DramaChase EllisonJack Guzman
3160,get over it,Tommy O'HaverKirsten DunstComedy RomanceMila KunisCarmen Electra
3161,office space,Mike JudgeStephen RootComedyGary ColeDiedrich Bader
3162,drop dead gorgeous,Michael Patrick JannKirstie AlleyComedy Romance ThrillerKirsten DunstEllen Barkin
3163,big eyes,Tim BurtonDanny HustonBiography Crime Drama RomanceChristoph WaltzJon Polito
3164,very bad things,Peter BergDaniel SternComedy Crime ThrillerJon FavreauJeanne Tripplehorn
3165,sleepover,Joe NussbaumAlexa PenaVegaComedy RomanceSteve CarellHunter Parrish
3166,body double,Brian De PalmaDennis FranzMystery ThrillerMelanie GriffithGregg Henry
3167,macgruber,Jorma TacconeWill ForteAction Comedy RomanceJasper ColePowers Boothe
3168,dirty pretty things,Stephen FrearsBenedict WongCrime Drama ThrillerSophie OkonedoSergi López
3169,movie 43,Elizabeth BanksKate WinsletComedyHugh JackmanSeth MacFarlane
3170,the tourist,Florian Henckel von DonnersmarckAngelina Jolie PittAction Romance ThrillerJohnny DeppRufus Sewell
3171,over her dead body,Jeff LowellWilliam Morgan SheppardComedy Fantasy RomanceStephen RootWendi McLendon-Covey
3172,seeking a friend for the end of the world,Lorene ScafariaMark MosesAdventure Comedy Drama Romance Sci-FiSteve CarellRob Huebel
3173,cedar rapids,Miguel ArtetaStephen RootComedyKurtwood SmithAlia Shawkat
3174,bones            ,unknownT.J. ThyneComedy Crime Drama Mystery RomanceMichaela ConlinTamara Taylor
3175,american history x,Tony KayeBeverly D'AngeloCrime DramaEthan SupleeStacy Keach
3176,the collection,Marcus DunstanJohanna BraddyAction Horror ThrillerDaniel SharmanLee Tergesen
3177,teacher's pet,Timothy BjörklundKelsey GrammerAnimation Comedy Family Fantasy MusicalNathan LaneJerry Stiller
3178,the red violin,François GirardClotilde MolletDrama Music Mystery RomanceJohannes SilberschneiderCarlo Cecchi
3179,the straight story,David LynchRichard FarnsworthBiography DramaSissy SpacekEverett McGill
3180,deuces wild,Scott KalvertJames FrancoAction Crime DramaNorman ReedusFrankie Muniz
3181,bad words,Jason BatemanPhilip Baker HallComedy DramaBeth GrantPatricia Belcher
3182,"run, fatboy, run",David SchwimmerIddo GoldbergComedy Romance SportDylan MoranIndia de Beaufort
3183,heartbeeps,Allan ArkushRandy QuaidComedy Sci-FiBernadette PetersChristopher Guest
3184,black or white,Mike BinderGillian JacobsDramaJennifer EhleJillian Estell
3185,on the line,Eric BrossTamala JonesComedy Family RomanceJerry StillerDave Foley
3186,rescue dawn,Werner HerzogToby HussAdventure Biography Drama WarChristian BaleFrançois Chau
3187,danny collins,Dan FogelmanJennifer GarnerComedy Drama MusicAl PacinoMelissa Benoist
3188,"jeff, who lives at home",Jay DuplassEvan RossComedy DramaJudy GreerRae Dawn Chong
3189,i am love,Luca GuadagninoWaris AhluwaliaDrama RomanceFlavio ParentiAlba Rohrwacher
3190,atlas shrugged ii: the strike,John PutchDiedrich BaderDrama Mystery Sci-FiRobert PicardoEsai Morales
3191,romeo is bleeding,Peter MedakMichael WincottAction Crime Drama ThrillerGary OldmanLena Olin
3192,the limey,Steven SoderberghLesley Ann WarrenCrime Drama Mystery ThrillerPeter FondaWilliam Lucking
3193,crash,Paul HaggisLoretta DevineCrime Drama ThrillerDon CheadleJennifer Esposito
3194,the house of mirth,Terence DaviesAnthony LaPagliaDrama RomanceEric StoltzElizabeth McGovern
3195,malone,Harley CokelissTracey WalterAction Drama ThrillerCliff RobertsonDennis Burkley
3196,peaceful warrior,Victor SalvaTim DeKayDrama Romance SportScott MechlowiczAgnes Bruckner
3197,bucky larson: born to be a star,Tom BradyKevin NealonComedyDon JohnsonNicholas Turturro
3198,bamboozled,Spike LeeMichael RapaportComedy Drama MusicGillian WhiteJada Pinkett Smith
3199,the forest,Jason ZadaStephanie VogtHorror Mystery ThrillerEoin MackenGen Seto
